"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:K91.5","Diseases of the digestive system (K91.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H54.40","Blindness and low vision (H54.40)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H53.013","Visual disturbances (H53.013)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.2","Visual disturbances (H53.2)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.483","Visual disturbances (H53.483)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.482","Visual disturbances (H53.482)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.481","Visual disturbances (H53.481)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.71","Visual disturbances (H53.71)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.47","Visual disturbances (H53.47)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.462","Visual disturbances (H53.462)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.461","Visual disturbances (H53.461)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H54.8","Blindness and low vision (H54.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H53.453","Visual disturbances (H53.453)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.452","Visual disturbances (H53.452)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.19","Visual disturbances (H53.19)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.8","Visual disturbances (H53.8)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.16","Visual disturbances (H53.16)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.022","Visual disturbances (H53.022)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.021","Visual disturbances (H53.021)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.413","Visual disturbances (H53.413)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.412","Visual disturbances (H53.412)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.411","Visual disturbances (H53.411)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.419","Visual disturbances (H53.419)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.423","Visual disturbances (H53.423)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.433","Visual disturbances (H53.433)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.032","Visual disturbances (H53.032)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.131","Visual disturbances (H53.131)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.139","Visual disturbances (H53.139)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.123","Visual disturbances (H53.123)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.122","Visual disturbances (H53.122)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.121","Visual disturbances (H53.121)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.129","Visual disturbances (H53.129)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H54.3","Blindness and low vision (H54.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H54.62","Blindness and low vision (H54.62)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H54.60","Blindness and low vision (H54.60)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H54.61","Blindness and low vision (H54.61)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H53.003","Visual disturbances (H53.003)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.002","Visual disturbances (H53.002)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.001","Visual disturbances (H53.001)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.30","Visual disturbances (H53.30)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.60","Visual disturbances (H53.60)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.10","Visual disturbances (H53.10)","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.9","Unspecified visual disturbance","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.40","Unspecified visual field defects","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H54.7","Blindness and low vision (H54.7)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H53.143","Scotoma involving central area, left eye","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H53.142","Scotoma involving central area, right eye","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
